"","game_n","indicator","loc","loc_2","h_a","miles","n_veh","transp_type","co_2gas","pop_trip","co_2pcap"
"79",23,"mbball","Colby","College","Away","259",1,"pete","209.272",18,11.6262222222222
"80",24,"mbball","Bowdoin","College","Away","200",1,"pete","161.6",18,8.97777777777778
"81",0,"mbball","Morocco","Quarter","Away","3588",1,"plane","2569.5",18,0
"82",1,"football","Middlebury","College","Home","0",1,"none","0",100,0
"83",2,"football","Hamilton","College","Away","205",2,"pete","331.28",100,3.3128
"84",3,"football","Trinity","College","Home","0",1,"none","0",100,0
"85",4,"football","Bates","College","Home","0",1,"none","0",100,0
"86",5,"football","Colby","College","Away","259",2,"pete","418.544",100,4.18544
"87",6,"football","Tufts","University","Away","87.7",2,"pete","141.7232",100,1.417232
"88",7,"football","Wesleyan","University","Home","0",1,"none","0",100,0
"89",8,"football","Bowdoin","College","Home","0",1,"none","0",100,0
"90",9,"football","Williams","College","Away","59.8",2,"pete","96.6368",100,0.966368
"91",1,"wlax","Hamilton","College","Home","0",1,"none","0",36,0
"92",2,"wlax","Springfield","College","Away","27.6",1,"pete","22.3008",36,0.619466666666667
"93",3,"wlax","Tufts","University","Away","87.7",1,"pete","70.8616",36,1.96837777777778
"94",4,"wlax","Ithaca","College","Home","0",1,"none","0",36,0
"95",5,"wlax","Bates","College","Home","0",1,"none","0",36,0
"96",6,"wlax","Westfield","State","Away","29.9",1,"pete","24.1592",36,0.671088888888889
"97",7,"wlax","Keene","State","Home","0",1,"none","0",36,0
"98",8,"wlax","Bowdoin","College","Away","200",1,"pete","161.6",36,4.48888888888889
"99",9,"wlax","Wesleyan","University","Away","66.9",1,"pete","54.0552",36,1.50153333333333
"100",10,"wlax","Colby","College","Home","0",1,"none","0",36,0
"101",11,"wlax","Connecticut","College","Away","99",1,"pete","79.992",36,2.222
"102",12,"wlax","Williams","College","Home","0",1,"none","0",36,0
"103",13,"wlax","Middlebury","College","Away","85",1,"pete","68.68",36,1.90777777777778
"104",14,"wlax","Trinity","College","Home","0",1,"none","0",36,0
"105",15,"wlax","Tufts","University","Away","87.7",1,"pete","70.8616",36,1.96837777777778
"106",1,"mlax","Hamilton","College","Away","205",1,"pete","165.64",49,3.38040816326531
"107",2,"mlax","Tufts","University","Home","0",1,"none","0",49,0
"108",3,"mlax","Bates","College","Away","365",1,"pete","209.272",49,0
"109",4,"mlax","York","College","Neutral","0",1,"none","0",49,0
"110",5,"mlax","Springfield","College","Home","0",1,"none","0",49,0
"111",6,"mlax","St","John","Home","0",1,"none","0",49,0
"112",7,"mlax","Western","New","Home","0",1,"none","0",49,0
"113",8,"mlax","Bowdoin","College","Home","0",1,"none","0",49,0
"114",9,"mlax","Wesleyan","University","Home","0",1,"none","0",49,0
"115",10,"mlax","Colby","College","Away","259",1,"pete","209.272",49,4.27085714285714
"116",11,"mlax","Connecticut","College","Home","0",1,"none","0",49,0
"117",12,"mlax","Williams","College","Away","59.8",1,"pete","48.3184",49,0.986089795918367
"118",13,"mlax","Middlebury","College","Home","0",1,"none","0",49,0
"119",14,"mlax","Trinity","College","Away","52.4",1,"pete","42.3392",49,0.864065306122449
"120",15,"mlax","Bowdoin","College","Home","0",1,"none","0",49,0
"121",16,"mlax","Tufts","University","Away","87.7",1,"pete","70.8616",49,1.44615510204082
"122",17,"mlax","SUNY","Geneseo","Away","389",1,"pete","209.272",49,0
"123",18,"mlax","Salisbury","University","Neutral","0",1,"none","0",49,0
"124",1,"wsoc","Springfield","College","Home","0",1,"none","0",30,0
"125",2,"wsoc","Middlebury","College","Home","0",1,"none","0",30,0
"126",3,"wsoc","Smith","College","Away","7.7",1,"pete","6.2216",30,0.207386666666667
"127",4,"wsoc","Tufts","University","Home","0",1,"none","0",30,0
"128",5,"wsoc","Emerson","College","Away","91.9",1,"pete","74.2552",30,2.47517333333333
"129",6,"wsoc","Bates","College","Away","207",1,"pete","167.256",30,5.5752
"130",7,"wsoc","Colby","College","Away","259",1,"pete","209.272",30,6.97573333333333
"131",8,"wsoc","Williams","College","Away","59.8",1,"pete","48.3184",30,1.61061333333333
"132",9,"wsoc","Lesley","University","Home","0",1,"none","0",30,0
"133",10,"wsoc","Wesleyan","University","Home","0",1,"none","0",30,0
"134",11,"wsoc","Bowdoin","College","Home","0",1,"none","0",30,0
"135",12,"wsoc","New","England","Away","80.1",1,"pete","64.7208",30,2.15736
"136",13,"wsoc","Connecticut","College","Home","0",1,"none","0",30,0
"137",14,"wsoc","Hamilton","College","Away","205",1,"pete","165.64",30,5.52133333333333
"138",15,"wsoc","Trinity","College","Away","52.4",1,"pete","42.3392",30,1.41130666666667
"139",16,"wsoc","Connecticut","College","Home","0",1,"none","0",30,0
"140",17,"wsoc","Tufts","University","Home","0",1,"none","0",30,0
"141",18,"wsoc","Wesleyan","University","Home","0",1,"none","0",30,0
"142",19,"wsoc","Westminster","College","Neutral","0",1,"none","0",30,0
"143",20,"wsoc","RIT","Rochester","Away","322.9",1,"pete","260.9032",30,8.69677333333333
"144",21,"wsoc","William","Smith","Away","570",1,"plane","6030",30,0
"145",1,"msoc","College","of","Home","0",1,"none","0",39,0
"146",2,"msoc","Middlebury","College","Home","0",1,"none","0",39,0
"147",3,"msoc","Thomas","College","Home","0",1,"none","0",39,0
"148",4,"msoc","Manhattanville","College","Home","0",1,"none","0",39,0
"149",5,"msoc","Tufts","University","Home","0",1,"none","0",39,0
"150",6,"msoc","Babson","College","Away","83.9",1,"pete","67.7912",39,1.7382358974359
"151",7,"msoc","Bates","College","Away","207",1,"pete","167.256",39,4.28861538461538
"152",8,"msoc","Colby","College","Away","259",1,"pete","209.272",39,5.36594871794872
"153",9,"msoc","Williams","College","Away","59.8",1,"pete","48.3184",39,1.23893333333333
"154",10,"msoc","Worcester","Polytechnic","Away","55.5",1,"pete","44.844",39,1.14984615384615
"155",11,"msoc","Wesleyan","University","Home","0",1,"none","0",39,0
"156",12,"msoc","Bowdoin","College","Home","0",1,"none","0",39,0
"157",13,"msoc","Connecticut","College","Home","0",1,"none","0",39,0
"158",14,"msoc","Hamilton","College","Away","205",1,"pete","165.64",39,4.24717948717949
"159",15,"msoc","Trinity","College","Away","52.4",1,"pete","42.3392",39,1.08562051282051
"160",16,"msoc","Wesleyan","University","Home","0",1,"none","0",39,0
"161",17,"msoc","Middlebury","College","Away","59.8",1,"pete","48.3184",39,0
"162",18,"msoc","Connecticut","College","Neutral","0",1,"none","0",39,0
"163",19,"msoc","Husson","University","Home","0",1,"none","0",39,0
"164",20,"msoc","St","Lawrence","Home","0",1,"none","0",39,0
"165",21,"msoc","University","of","Home","0",1,"none","0",39,0
"166",1,"wsq","William","Smith","Home","0",1,"none","0",16,0
"167",2,"wsq","Hamilton","College","Away","205",1,"pete","165.64",16,10.3525
"168",3,"wsq","Trinity","College","Away","52.4",1,"pete","42.3392",16,2.6462
"169",4,"wsq","Dickinson","College","Away","362.8",1,"pete","293.1424",16,18.3214
"170",5,"wsq","Franklin","and","Away","329.8",1,"pete","266.4784",16,16.6549
"171",6,"wsq","Georgetown","University","Away","374",1,"pete","302.192",16,0
"172",7,"wsq","Tufts","University","Home","0",1,"none","0",16,0
"173",8,"wsq","Bowdoin","College","Home","0",1,"none","0",16,0
"174",9,"wsq","Colby","College","Home","0",1,"none","0",16,0
"175",10,"wsq","Bates","College","Home","0",1,"none","0",16,0
"176",11,"wsq","Middlebury","College","Away","85",1,"pete","68.68",16,4.2925
"177",12,"wsq","Williams","College","Away","59.8",1,"pete","48.3184",16,3.0199
"178",13,"wsq","Wesleyan","University","Home","0",1,"none","0",16,0
"179",14,"wsq","Mount","Holyoke","Away","9.4",1,"pete","7.5952",16,0.4747
"180",15,"wsq","Connecticut","College","Home","0",1,"none","0",16,0
"181",16,"wsq","Brown","University","Home","0",1,"none","0",16,0
"182",17,"wsq","Middlebury","College","Away","52.8",1,"pete","42.6624",16,0
"183",18,"wsq","Trinity","College","Away","59.8",1,"pete","48.3184",16,0
"184",19,"wsq","Dartmouth","College","Neutral","0",1,"none","0",16,0
"185",20,"wsq","William","Smith","Neutral","0",1,"none","0",16,0
"186",21,"wsq","Williams","College","Away","59.8",1,"pete","48.3184",16,0
"187",22,"wsq","CSA","Individual","Away","259.7",1,"pete","209.8376",16,13.11485
"188",1,"msq","Hobart","College","Home","0",1,"none","0",18,0
"189",2,"msq","Hamilton","College","Away","205",1,"pete","165.64",18,9.20222222222222
"190",3,"msq","Trinity","College","Away","52.4",1,"pete","42.3392",18,2.35217777777778
"191",4,"msq","Dickinson","College","Away","362.8",1,"pete","293.1424",18,16.2856888888889
"192",5,"msq","Franklin","and","Away","329.8",1,"pete","266.4784",18,14.8043555555556
"193",6,"msq","Navy","Annapolis","Away","375.9",1,"pete","303.7272",18,16.8737333333333
"194",7,"msq","Massachusetts","Institute","Home","0",1,"none","0",18,0
"195",8,"msq","Tufts","University","Home","0",1,"none","0",18,0
"196",9,"msq","Bowdoin","College","Home","0",1,"none","0",18,0
"197",10,"msq","Colby","College","Home","0",1,"none","0",18,0
"198",11,"msq","Bates","College","Home","0",1,"none","0",18,0
"199",12,"msq","Middlebury","College","Away","85",1,"pete","68.68",18,3.81555555555556
"200",13,"msq","Williams","College","Away","59.8",1,"pete","48.3184",18,2.68435555555556
"201",14,"msq","Wesleyan","University","Home","0",1,"none","0",18,0
"202",15,"msq","Connecticut","College","Home","0",1,"none","0",18,0
"203",16,"msq","Brown","University","Home","0",1,"none","0",18,0
"204",17,"msq","Bates","College","Neutral","0",1,"none","0",18,0
"205",18,"msq","Trinity","College","Neutral","0",1,"none","0",18,0
"206",19,"msq","Colby","College","Neutral","0",1,"none","0",18,0
"207",20,"msq","Hobart","College","Neutral","0",1,"none","0",18,0
"208",21,"msq","St","Lawrence","Neutral","0",1,"none","0",18,0
"209",22,"msq","CSA","Individual","Away","259.7",1,"pete","209.8376",18,11.6576444444444
"210",23,"msq","CSA","Individual","Away","259.7",1,"pete","209.8376",18,11.6576444444444
"1100",1,"sdt","Colby","College","Away","259",1,"pete","209.272",54,3.87540740740741
"211",2,"sdt","Wesleyan","University","Away","66.9",1,"pete","54.0552",54,1.00102222222222
"310",3,"sdt","Middlebury","College","Home","0",1,"none","0",54,0
"410",4,"sdt","Union","College","Away","115.5",1,"pete","93.324",54,1.72822222222222
"510",5,"sdt","Williams","College","Home","0",1,"none","0",54,0
"610",6,"sdt","Connecticut","College","Away","99",1,"pete","79.992",54,1.48133333333333
"710",7,"sdt","Massachusetts","Institute","Away","88.9",1,"pete","71.8312",54,1.33020740740741
"810",8,"sdt","Springfield","College","Home","0",1,"none","0",54,0
"910",9,"sdt","NESCAC","Championships","Away","207",1,"pete","167.256",54,14.962962962963
"1310",13,"sdt","NCAA","Championships","Away","699",1,"plane","9882",54,14.962962962963
"1610",0,"sdt","PR","Spring","Away","1705",1,"plane","4410",18,0
"1101",1,"fhockey","Mount","Holyoke","Away","9.4",1,"pete","7.5952",25,0.303808
"212",2,"fhockey","Middlebury","College","Home","0",1,"none","0",25,0
"311",3,"fhockey","Keene","State","Home","0",1,"none","0",25,0
"411",4,"fhockey","Tufts","University","Home","0",1,"none","0",25,0
"511",5,"fhockey","Massachusetts","Institute","Away","88.9",1,"pete","71.8312",25,2.873248
"611",6,"fhockey","Bates","College","Away","207",1,"pete","167.256",25,6.69024
"711",7,"fhockey","Colby","College","Away","259",1,"pete","209.272",25,8.37088
"811",8,"fhockey","Williams","College","Away","59.8",1,"pete","48.3184",25,1.932736
"911",9,"fhockey","Connecticut","College","Home","0",1,"none","0",25,0
"1010",10,"fhockey","Wesleyan","University","Home","0",1,"none","0",25,0
"1110",11,"fhockey","Bowdoin","College","Home","0",1,"none","0",25,0
"1210",12,"fhockey","Springfield","College","Home","0",1,"none","0",25,0
"1311",13,"fhockey","Smith","College","Away","7.7",1,"pete","6.2216",25,0.248864
"1410",14,"fhockey","Hamilton","College","Away","205",1,"pete","165.64",25,6.6256
"1510",15,"fhockey","Trinity","College","Away","52.4",1,"pete","42.3392",25,1.693568
"1611",16,"fhockey","Williams","College","Home","0",1,"none","0",25,0
"1102",1,"vball","Westfield","State","Home","0",1,"none","0",23,0
"213",2,"vball","DeSales","University","Neutral","0",1,"none","0",23,0
"312",3,"vball","Wheaton","College","Neutral","0",1,"none","0",23,0
"412",4,"vball","New","York","Away","163.5",1,"pete","132.108",23,5.74382608695652
"512",5,"vball","Hamilton","College","Home","0",1,"none","0",23,0
"612",6,"vball","Middlebury","College","Home","0",1,"none","0",23,0
"712",7,"vball","Williams","College","Home","0",1,"none","0",23,0
"812",8,"vball","Gordon","College","Home","0",1,"none","0",23,0
"912",9,"vball","Rivier","University","Home","0",1,"none","0",23,0
"1011",10,"vball","Bowdoin","College","Home","0",1,"none","0",23,0
"1111",11,"vball","Connecticut","College","Home","0",1,"none","0",23,0
"1211",12,"vball","Trinity","College","Away","52.4",1,"pete","42.3392",23,1.8408347826087
"1312",13,"vball","Wesleyan","University","Away","66.9",1,"pete","54.0552",23,2.35022608695652
"1411",14,"vball","Springfield","College","Away","27.6",1,"pete","22.3008",23,0.9696
"1511",15,"vball","Tufts","University","Home","0",1,"none","0",23,0
"1612",16,"vball","UMass","Boston","Home","0",1,"none","0",23,0
"1710",17,"vball","Emerson","College","Home","0",1,"none","0",23,0
"1810",18,"vball","Bates","College","Away","207",1,"pete","167.256",23,7.272
"1910",19,"vball","Colby","College","Away","259",1,"pete","209.272",23,9.09878260869565
"2010",20,"vball","Bowdoin","College","Neutral","0",1,"none","0",23,0
"214",21,"vball","Wesleyan","University","Away","66.9",1,"pete","54.0552",23,2.35022608695652
"1103",1,"xc","Cardinal","Invitational","Away","66.9",1,"pete","54.0552",46,1.17511304347826
"215",2,"xc","Little","Three","Home","0",1,"none","0",46,0
"313",3,"xc","Purple","Valley","Away","59.8",1,"pete","48.3184",46,1.0504
"413",4,"xc","Connecticut","College","Away","99",1,"pete","79.992",46,1.73895652173913
"513",5,"xc","NESCAC","Championships","Away","205",1,"pete","165.64",46,0
"613",6,"xc","NCAA","Mideast","Away","295.6",1,"pete","238.8448",46,0
"713",7,"xc","NCAA","Championships","Away","709",1,"plane","2060",46,0
"1104",1,"wbball","Springfield","College","Home","0",1,"none","0",14,0
"216",2,"wbball","Rowan","University","Home","0",1,"none","0",14,0
"314",3,"wbball","Gordon","College","Away","115.8",1,"pete","93.5664",14,6.68331428571428
"414",4,"wbball","Emmanuel","College","Home","0",1,"none","0",14,0
"514",5,"wbball","New","Jersey","Away","178",1,"pete","143.824",14,10.2731428571429
"614",6,"wbball","Wesleyan","University","Home","0",1,"none","0",14,0
"714",7,"wbball","Lehman","College","Home","0",1,"none","0",14,0
"813",8,"wbball","Montclair","State","Away","2645",1,"plane","4620",14,0
"913",9,"wbball","Concordia","College","Neutral","0",1,"none","0",14,0
"1012",10,"wbball","Whittier","College","Neutral","0",1,"none","0",14,0
"1112",11,"wbball","Chapman","University","Away","0",1,"pete","0",14,0
"1212",12,"wbball","Williams","College","Away","59.8",1,"pete","48.3184",14,3.45131428571429
"1313",13,"wbball","Middlebury","College","Away","85",1,"pete","68.68",14,4.90571428571429
"1412",14,"wbball","Worcester","State","Away","55.5",1,"pete","44.844",14,3.20314285714286
"1512",15,"wbball","Tufts","University","Home","0",1,"none","0",14,0
"1613",16,"wbball","Bates","College","Home","0",1,"none","0",14,0
"1711",17,"wbball","Williams","College","Home","0",1,"none","0",14,0
"1811",18,"wbball","Hamilton","College","Home","0",1,"none","0",14,0
"1911",19,"wbball","SUNY","Poly","Away","193.4",1,"pete","156.2672",14,11.1619428571429
"2011",20,"wbball","Wesleyan","University","Away","66.9",1,"pete","54.0552",14,3.86108571428571
"217",21,"wbball","Trinity","College","Away","52.4",1,"pete","42.3392",14,3.02422857142857
"221",22,"wbball","Connecticut","College","Away","99",1,"pete","79.992",14,5.71371428571429
"231",23,"wbball","Colby","College","Home","0",1,"none","0",14,0
"241",24,"wbball","Bowdoin","College","Home","0",1,"none","0",14,0
"251",25,"wbball","Trinity","College","Away","52.4",1,"pete","42.3392",14,3.02422857142857
"1105",1,"mgolf","Nelson","Invitational","Away","85",1,"van","88.91",12,7.40916666666667
"315",3,"mgolf","Williams","Fall","Away","59.8",1,"van","62.5508",12,5.21256666666667
"515",5,"mgolf","Bowdoin","Invitational","Away","200",1,"van","209.2",12,17.4333333333333
"715",7,"mgolf","Blazer","Invitational","Away","9.4",1,"van","9.8324",12,87.1666666666667
"914",9,"mgolf","NEIGA","Championship","Away","170",1,"van","177.82",12,0
"1113",11,"mgolf","Hamilton","College","Neutral","0",1,"none","0",12,0
"1413",14,"mgolf","Little","Three","Home","0",1,"none","0",12,0
"1513",15,"mgolf","Williams","Spring","Away","200",1,"van","209.2",12,5.21256666666667
"1712",17,"mgolf","NESCAC","Championship","Away","1180",1,"plane","2156",12,87.1666666666667
"1106",1,"wgolf","Hamilton","Fall","Away","205",1,"van","214.43",10,21.443
"316",3,"wgolf","Williams","Invitational","Away","59.8",1,"van","62.5508",10,6.25508
"516",5,"wgolf","Phinney","Classic","Away","85",1,"van","88.91",10,8.891
"716",7,"wgolf","NESCAC","Fall","Home","0",1,"none","0",10,0
"915",9,"wgolf","NEIGA","Championship","Away","166",1,"van","173.636",10,0
"1114",11,"wgolf","Cortland","MartinWallace","Away","256.7",1,"van","268.5082",10,26.85082
"1314",13,"wgolf","Jack","Leaman","Home","0",1,"none","0",10,0
"1514",15,"wgolf","NESCAC","Championship","Neutral","0",1,"none","0",10,104.6
"1713",17,"wgolf","NCAA","Championship","Away","1252",1,"plane","2814",10,0
"1107",1,"mtennis","ITA","Regionals","Away","200",1,"van","209.2",14,0
"218",2,"mtennis","MIT","Classic","Away","88.9",1,"van","92.9894",14,6.6421
"317",3,"mtennis","Wesleyan","University","Away","66.9",1,"van","69.9774",14,0
"415",4,"mtennis","Bowdoin","College","Home","0",1,"none","0",14,0
"517",5,"mtennis","Colby","College","Home","0",1,"none","0",14,0
"615",6,"mtennis","Rhodes","College","Away","2880",1,"plane","4788",14,0
"717",7,"mtennis","Sewanee","Malibu","Neutral","0",1,"none","0",14,0
"814",8,"mtennis","Chapman","University","Away","0",1,"van","0",14,0
"916",9,"mtennis","University","of","Away","50.6",1,"van","52.9276",14,3.78054285714286
"1013",10,"mtennis","Nichols","College","Home","0",1,"none","0",14,0
"1115",11,"mtennis","Connecticut","College","Away","99",1,"van","103.554",14,7.39671428571429
"1213",12,"mtennis","Tufts","University","Home","0",1,"none","0",14,0
"1315",13,"mtennis","Bates","College","Home","0",1,"none","0",14,0
"1414",14,"mtennis","Hamilton","College","Away","205",1,"van","214.43",14,15.3164285714286
"1515",15,"mtennis","Trinity","College","Away","52.4",1,"van","54.8104",14,3.91502857142857
"1614",16,"mtennis","Skidmore","College","Home","0",1,"none","0",14,0
"1714",17,"mtennis","Wesleyan","University","Away","66.9",1,"van","69.9774",14,4.99838571428571
"1812",18,"mtennis","Middlebury","College","Away","85",1,"van","88.91",14,6.35071428571429
"1912",19,"mtennis","Williams","College","Away","59.8",1,"van","62.5508",14,4.46791428571429
"2012",20,"mtennis","Williams","College","Away","59.8",1,"van","62.5508",14,4.46791428571429
"1108",1,"wtennis","M","I","Away","88.9",1,"van","92.9894",14,0
"219",2,"wtennis","Intercollegiate","Tennis","Away","59.8",1,"van","62.5508",14,0
"318",3,"wtennis","Bowdoin","College","Home","0",1,"none","0",14,0
"416",4,"wtennis","Colby","College","Home","0",1,"none","0",14,0
"518",5,"wtennis","Sewanee","Claremont","Neutral","0",1,"none","0",14,0
"616",6,"wtennis","Pomona","Pitzer","Away","2880",1,"plane","4788",14,74.7142857142857
"718",7,"wtennis","Claremont","Mudd","Neutral","0",1,"none","0",14,74.7142857142857
"815",8,"wtennis","Washington","University","Neutral","0",1,"none","0",14,0
"917",9,"wtennis","Connecticut","College","Away","99",1,"van","103.554",14,7.39671428571429
"1014",10,"wtennis","Tufts","University","Home","0",1,"none","0",14,0
"1116",11,"wtennis","Bates","College","Home","0",1,"none","0",14,0
"1214",12,"wtennis","Hamilton","College","Away","205",1,"van","214.43",14,15.3164285714286
"1316",13,"wtennis","Trinity","College","Away","52.4",1,"van","54.8104",14,3.91502857142857
"1415",14,"wtennis","Skidmore","College","Away","133",1,"van","139.118",14,9.937
"1516",15,"wtennis","Wesleyan","University","Away","66.9",1,"van","69.9774",14,4.99838571428571
"1615",16,"wtennis","Middlebury","College","Away","85",1,"van","88.91",14,6.35071428571429
"1715",17,"wtennis","Williams","College","Away","59.8",1,"van","62.5508",14,4.46791428571429
"1813",18,"wtennis","Bowdoin","College","Away","85",1,"van","88.91",14,0
"1913",19,"wtennis","Wesleyan","University","Neutral","0",1,"none","0",14,0
"2013",20,"wtennis","SUNY","New","Home","0",1,"none","0",14,0
"2110",21,"wtennis","Babson","College","Home","0",1,"none","0",14,0
"222",22,"wtennis","Claremont","Mudd","Neutral","0",1,"none","0",14,0
"1109",1,"tf","Little","Three","Away","66.9",2,"pete","108.1104",106,15.2452830188679
"220",2,"tf","Middlebury","Winter","Away","85",2,"pete","137.36",106,1.29584905660377
"519",5,"tf","Tufts","Cupid","Away","87.7",2,"pete","141.7232",106,1.33701132075472
"617",6,"tf","Hemery","Valentine","Away","89.3",2,"pete","144.3088",106,1.36140377358491
"816",8,"tf","Middlebury","Field","Away","85",2,"pete","137.36",106,1.29584905660377
"918",9,"tf","Triangle","Classic","Away","27.6",2,"pete","44.6016",106,0.420769811320755
"1015",10,"tf","New","England","Away","80.1",2,"pete","129.4416",106,1.22114716981132
"1215",12,"tf","Tufts","National","Away","87.7",2,"pete","141.7232",106,1.33701132075472
"1317",13,"tf","NCAA","Indoor","Away","87.8",2,"pete","141.8848",106,15.2452830188679
"1416",14,"tf","Black","Gold","Away","77.3",2,"pete","124.9168",106,1.17846037735849
"1616",16,"tf","Amherst","Spring","Home","0",1,"none","0",106,0
